,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0
91,B,9.1,E,V,1.0,e,A,1.0,c0,3.1376395320500863,41.475272817371504,5.949851609745825,222.0533333333333,110.0,241.19223734162492,4.980526477781805,321.14543336001645,0.0,0.0,80.0,4.0,0
94,A,10.0,E,Y,1.0,e,A,1.0,c0,4.323616236300034,15.746770607873742,6.564344796244072,1208.7133333333334,100.0,231.94313292823756,2.2291637209700856,13.838357524667229,714.0,0.0,120.0,5.0,1
95,A,8.0,C,O,0.0,a,A,0.0,c0,4.886666579548511,42.188612174538044,8.168173913122205,1095.5466666666666,90.0,220.04977543622243,3.4593289958718083,119.95983673590506,0.0,0.0,32.0,2.0,0
96,A,10.0,B,V,0.0,a,A,1.0,c0,3.1376395320500863,24.388653277445563,5.753307378720258,1228.7133333333334,100.0,230.613555818982,4.261584050393319,124.11175172598041,0.0,0.0,80.0,4.0,0
97,A,8.0,D,U,0.0,c,A,1.0,c0,3.368447367421272,40.84703169915941,6.268883907507456,1178.0733333333333,90.0,220.3664936175971,2.670076739241212,81.38985510246236,0.0,0.0,80.0,4.0,0
98,A,8.0,B,U,0.0,d,A,0.0,c0,4.036000068055038,40.203211498944704,6.668234204369483,325.88,90.0,220.4314945096613,2.102254440990425,3.7599749873510007,0.0,0.0,80.0,4.0,0
99,A,8.0,E,V,1.0,e,A,1.0,c0,3.743271556546851,41.85067790280125,6.300252685858879,865.0933333333335,90.0,220.2246770224989,4.653849324917047,195.99876626038863,0.0,0.0,80.0,3.0,0
100,A,12.0,B,R,0.0,b,A,0.0,c0,3.5946575956730733,22.601113567351803,6.332331681030071,1749.3933333333334,140.0,264.68787233414747,4.292457887717661,338.6674700515216,0.0,2.0,90.0,4.0,0
101,A,12.0,D,T,0.0,c,A,0.0,c0,3.743271556546851,37.0726581003575,7.2101702903032265,1939.48,140.0,264.2413680393074,5.56522062502566,185.79453434363973,0.0,0.0,80.0,4.0,0
102,A,8.0,D,S,0.0,c,A,0.0,c0,2.406495560799009,54.213214998370034,5.2928187844002474,1231.1,90.0,221.32270849868686,2.912600602772038,92.16472118203328,0.0,0.0,80.0,3.0,0
103,C,11.0,A,U,0.0,a,A,1.0,c0,3.44432238911142,29.276979601657747,5.957210314518304,1512.773333333333,130.0,258.33642498794944,3.984028847013557,228.4654769049497,0.0,0.0,80.0,6.0,1
104,F,12.0,B,R,0.0,a,A,0.0,c0,4.6069562545437215,7.525652703884917,6.911953177947684,1026.0533333333333,140.0,265.6443390550835,2.9662419546989196,244.6188709616811,0.0,0.0,80.0,3.0,0
105,A,10.0,D,O,0.0,a,A,1.0,c0,2.74005678707146,27.265956937713078,4.469570216050025,1719.4,100.0,232.0761773943225,3.0587701659024717,183.2987874982932,0.0,0.0,120.0,7.0,0
